survey_key,date,length,area,mac_plast_w,mic_plas_w,total_w,est_weight,num_parts_staff,num_parts_other,time_minutes,participants,project,is_2020,location,loc_date
maladaire2020-07-2949,2020-07-29,49,122.50,32.000,0.000,147.000,0.0,1,0,65,"[""PRCS""]",2020,True,maladaire,"('maladaire', '2020-07-29')"
maladaire2020-08-3155,2020-08-31,55,137.00,75.000,0.000,0.380,0.0,1,0,66,"[""PRCS""]",2020,True,maladaire,"('maladaire', '2020-08-31')"
maladaire2020-09-3054,2020-09-30,54,163.00,140.000,0.000,0.355,0.0,1,0,135,"[""PRCS""]",2020,True,maladaire,"('maladaire', '2020-09-30')"
maladaire2020-10-2949,2020-10-29,49,147.00,95.000,0.000,0.125,0.0,1,0,75,"[""PRCS""]",2020,True,maladaire,"('maladaire', '2020-10-29')"
maladaire2020-11-2753,2020-11-27,53,132.00,40.000,0.000,0.295,0.0,1,0,90,"[""PRCS""]",2020,True,maladaire,"('maladaire', '2020-11-27')"
maladaire2020-12-2956,2020-12-29,56,168.00,425.000,0.000,0.515,0.0,1,0,135,"[""PRCS""]",2020,True,maladaire,"('maladaire', '2020-12-29')"
maladaire2021-01-2950,2021-01-29,50,150.00,205.000,0.000,0.335,0.0,1,0,110,"[""PRCS""]",2020,True,maladaire,"('maladaire', '2021-01-29')"
mols-rocks2020-11-2225,2020-11-22,25,50.00,20.000,0.000,0.440,0.0,1,0,60,"[""PRCS""]",2020,True,mols-rocks,"('mols-rocks', '2020-11-22')"
muhlehorn-dorf2020-11-2153,2020-11-21,53,212.00,35.000,0.000,0.050,0.0,1,0,75,"[""HD""]",2020,True,muhlehorn-dorf,"('muhlehorn-dorf', '2020-11-21')"
mullermatte2020-01-2625,2020-01-26,25,127.00,100.000,0.266,0.500,0.0,1,0,200,"[""HD""]",2020,True,mullermatte,"('mullermatte', '2020-01-26')"
mullermatte2020-04-2931,2020-04-29,31,118.00,125.000,0.129,0.400,0.0,1,0,205,"[""HD""]",2020,True,mullermatte,"('mullermatte', '2020-04-29')"
mullermatte2020-05-2939,2020-05-29,39,306.00,200.000,0.001,0.200,0.0,1,0,120,"[""HD""]",2020,True,mullermatte,"('mullermatte', '2020-05-29')"
mullermatte2020-06-3035,2020-06-30,35,127.00,750.000,0.196,0.175,0.0,1,0,140,"[""HD""]",2020,True,mullermatte,"('mullermatte', '2020-06-30')"
mullermatte2020-07-2941,2020-07-29,41,235.00,100.000,0.131,0.175,0.0,1,0,180,"[""HD""]",2020,True,mullermatte,"('mullermatte', '2020-07-29')"
mullermatte2020-08-3144,2020-08-31,44,351.00,200.000,0.456,0.255,0.0,1,0,210,"[""HD""]",2020,True,mullermatte,"('mullermatte', '2020-08-31')"
mullermatte2020-09-3041,2020-09-30,41,360.00,240.000,0.259,0.355,0.0,1,1,240,"[""HD""]",2020,True,mullermatte,"('mullermatte', '2020-09-30')"
mullermatte2020-10-3044,2020-10-30,44,550.00,80.000,0.000,0.400,0.0,2,0,180,"[""HD""]",2020,True,mullermatte,"('mullermatte', '2020-10-30')"
mullermatte2020-11-3043,2020-11-30,43,498.00,55.000,0.044,0.220,0.0,1,0,150,"[""HD""]",2020,True,mullermatte,"('mullermatte', '2020-11-30')"
mullermatte2020-12-3146,2020-12-31,46,425.00,420.000,0.094,0.570,0.0,1,0,135,"[""HD""]",2020,True,mullermatte,"('mullermatte', '2020-12-31')"
mullermatte2021-01-3140,2021-01-31,40,473.00,170.000,0.130,0.520,0.0,1,0,135,"[""HD""]",2020,True,mullermatte,"('mullermatte', '2021-01-31')"
murg-bad2020-10-2329,2020-10-23,29,174.00,185.000,0.000,330.000,0.0,1,0,80,"[""HD""]",2020,True,murg-bad,"('murg-bad', '2020-10-23')"
nidau-strand2020-11-3025,2020-11-30,25,105.00,2.000,0.236,0.130,0.0,1,0,100,"[""HD""]",2020,True,nidau-strand,"('nidau-strand', '2020-11-30')"
nouvelle-plage2020-10-1764,2020-10-17,64,160.00,20.000,0.030,0.020,0.0,1,0,90,"[""HD""]",2020,True,nouvelle-plage,"('nouvelle-plage', '2020-10-17')"
oben-am-see2021-02-0564,2021-02-05,64,256.00,535.000,0.790,0.635,0.0,1,0,140,"[""HD""]",2020,True,oben-am-see,"('oben-am-see', '2021-02-05')"
oyonne2021-01-0622,2021-01-06,22,132.00,450.000,0.000,0.720,0.0,1,0,175,"[""PRCS""]",2020,True,oyonne,"('oyonne', '2021-01-06')"
pacha-mama-gerra2020-08-1080,2020-08-10,80,160.00,19.000,0.000,0.090,0.0,1,0,45,"[""PRCS""]",2020,True,pacha-mama-gerra,"('pacha-mama-gerra', '2020-08-10')"
