location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population,buildings,streets,intersects,pop_group_proj,pop_group_rip,streets_rank,buildings_rank
Pfaffner_Rothrist_Ischik,47.298567799999994,7.8994664000000006,4852,CH,r,Pfaffnern,rothrist,pfaffnern,False,Rothrist,4282,9127,372037.95,102621.37,0,2,3,3,2
Pfäfikon bad,47.206765999999995,8.774182000000001,8808,CH,l,Zurichsee,freienbach,zurichsee,True,Freienbach,1322,16391,413149.03,62585.79,6,3,3,2,3
Pierrier sud,46.4395601,6.8910000999999985,1815,CH,l,Lac Léman,montreux,lac-leman,False,Montreux,5886,25984,382616.97,68911.43,4,3,3,2,3
Plage de Cheyres,46.818689,6.782255999999999,1468,CH,l,Neuenburgersee,cheyres,neuenburgersee,True,Cheyres-Châbles,2055,2320,105877.43,36331.28,6,0,2,0,0
Plage de Dorigny,46.518169,6.583319,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,False,Saint-Sulpice (VD),5648,4668,512523.24,105328.47,1,1,3,3,3
Plage de Serrière,46.98485,6.91345,2000,CH,l,Neuenburgersee,neuchatel,neuenburgersee,True,Neuchâtel,6458,33489,543939.86,103529.77,2,3,3,3,3
Plage de St Sulpice,46.513265000000004,6.570977,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True,Saint-Sulpice (VD),5648,4668,459027.19,73042.4,1,1,3,3,3
Pointe d'Areuse,46.94619,6.87097,2017,CH,l,Neuenburgersee,boudry,neuenburgersee,True,Boudry,6404,6154,129672.66,32346.78,7,2,3,0,1
Pont sous-terre,46.2029598,6.13157672,1205,CH,r,Rhône,geneve,rhone,True,Genève,6621,201818,1872969.97,212101.22,2,3,3,3,3
Préverenges,46.51269,6.527657,1028,CH,l,Lac Léman,preverenges,lac-leman,True,Préverenges,5643,5287,315815.37,67150.56,2,1,3,2,2
preverenges-le sout,46.5089049,6.5345263,1028,CH,l,Lac Léman,preverenges,lac-leman,True,Préverenges,5643,5287,222911.45,55050.49,1,1,3,1,2
Quai Maria Belgia,46.460156,6.836717999999999,1800,CH,l,Lac Léman,vevey,lac-leman,True,Vevey,5890,19891,561590.25,72669.13,4,3,3,3,3
Rastplatz Stampf,47.215177000000004,8.844286,8645,CH,l,Zurichsee,jona-city,zurichsee,True,Rapperswil-Jona,3340,26999,240599.29,40257.28,5,3,3,0,2
Reuss,47.329869099999996,8.3568493,5626,CH,r,Reuss,bremgarten,reuss,False,Bremgarten (AG),4063,7946,109541.24,68935.36,0,2,3,2,0
reuss_hünenberg_eberhardy,47.2329755,8.401012099999999,6331,CH,r,Reuss,hunenberg,reuss,True,Hünenberg,1703,8808,107676.97,65983.11,0,2,3,2,0
reuss_ottenbach_schoenenbergerl,47.2783545,8.3942242,5634,CH,r,Reuss,merenschwand,reuss,True,Merenschwand,4234,3549,173094.88,73440.5,0,0,2,3,1
Reuss_St.Karli_LinigerS/ImhofY,47.057111799999994,8.287914500000001,6004,CH,r,Reuss,luzern,reuss,False,Luzern,1061,81691,792708.0,156724.11,0,3,3,3,3
Rhein Beach Tinguely,47.5586439,7.612153599999999,4058,CH,r,Rhein,basel,rhein,False,Basel,2701,172258,1475167.4,177319.37,0,3,3,3,3
Rhein_Basel,47.556801799999995,7.6010856,4058,CH,r,Rhein,basel,rhein,False,Basel,2701,172258,2062047.83,179153.39,0,3,3,3,3
Rhein_Basel_HungerbuehlerN,47.558217600000006,7.6103488,4058,CH,r,Rhein,basel,rhein,False,Basel,2701,172258,1582768.79,178689.28,0,3,3,3,3
