slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population
rhein_basel,Rhein_Basel,47.55680180,7.60108560,4058,CH,r,Rhein,basel,rhein,False,Basel,2701,172258
rhein_basel_hungerbuehlern,Rhein_Basel_HungerbuehlerN,47.55821760,7.61034880,4058,CH,r,Rhein,basel,rhein,False,Basel,2701,172258
rhein_domatems_foppa_f,rhein_domatems_foppa_f,46.83803750,9.44763870,7013,CH,r,Rhein,domat-ems,rhein,False,Domat/Ems,3722,8038
rhein_eglisau_gomringerp,rhein_eglisau_gomringerp,47.57331590,8.53458470,8193,CH,r,Rhein,eglisau,rhein,False,Eglisau,55,5217
rhein_hemishofen_stolll,Rhein_Hemishofen_StollL,47.67552360,8.82802920,8261,CH,r,Rhein,hemishofen,rhein,False,Hemishofen,2962,468
rivapiana,Rivapiana,46.17207900,8.81325500,6648,CH,l,Lago Maggiore,minusio,lago-maggiore,True,Minusio,5118,7302
rocky-plage,Rocky plage,46.20973675,6.16495237,1208,CH,l,Lac Léman,geneve,lac-leman,True,Genève,6621,201818
rolle-plage,Rolle-plage,46.46130000,6.34973900,1180,CH,l,Lac Léman,rolle,lac-leman,False,Rolle,5861,6259
route-13,Route 13,46.16252100,8.78257910,6600,CH,r,Maggia,locarno,maggia,True,Locarno,5113,15826
ruisseau-de-la-croix-plage,Ruisseau de la croix plage,46.81392000,6.77470000,1468,CH,l,Neuenburgersee,cheyres,neuenburgersee,True,Cheyres-Châbles,2055,2320
saint-sulpice,Saint Sulpice,46.50780800,6.54534400,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,False,Saint-Sulpice (VD),5648,4668
san-nazzaro-gambarogno,san nazzaro-gambarogno,46.13044300,8.79865700,6575,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,Gambarogno,5398,5192
schiffenensee_duedingen_hirschij,schiffenensee_duedingen_hirschij,46.85915140,7.17643740,3186,CH,l,Schiffenensee,dudingen,schiffenensee,False,Düdingen,2293,7964
schmerikon-bahnhof-strand,Schmerikon Bahnhof Strand,47.22478000,8.94418000,Postal-code,CH,l,Zurichsee,schmerikon,zurichsee,True,Schmerikon,3338,3710
schusspark-strand,Schüsspark strand,47.14650000,7.26862000,2504,CH,r,Schüss,biel,schuss,True,Biel/Bienne,371,55159
seeflechsen,seeflechsen,47.13022290,9.10339960,8872,CH,l,Walensee,glarus-nord,walensee,True,Glarus Nord,1630,18483
seemuhlestrasse-strand,Seemühlestrasse Strand,47.12864000,9.29510000,8880,CH,l,Walensee,walenstadt,walensee,True,Walenstadt,3298,5679
seez,Seez,47.11983000,9.30025100,8880,CH,r,Seez,walenstadt,seez,True,Walenstadt,3298,5679
seez_spennwiesenbrucke,Seez_Spennwiesenbrücke,47.11494800,9.31012300,8880,CH,r,Seez,walenstadt,seez,True,Walenstadt,3298,5679
sempachersee_sempach_tampec,sempachersee_sempach_tampec,47.12861810,8.19187370,6204,CH,l,Sempachsee,sempach,sempachsee,False,Sempach,1102,4169
sense_torishaus_g-cubes,Sense_Törishaus_g cubes,46.88312060,7.35318890,3174,CH,r,Sense,koniz,sense,False,Köniz,355,41784
sentiero-giro-del-golf-spiaggia,Sentiero Giro del Golf spiaggia,46.14577000,8.79043000,6612,CH,l,Lago Maggiore,ascona,lago-maggiore,True,Ascona,5091,5481
