UUID,slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_na_1,is_2020,city,bfsnum,population,surface
{5B9CCEA0-1982-4D83-988E-484CCB0C04F2},baye-de-montreux-d,Baye de Montreux D,46.430962000000001,6.908673000000000,1820,CH,l,Lac Léman,montreux,lac-leman,False,Montreux,5886,25984,100626.459
{D2FF5C52-85A7-46EC-9E64-ED1CBA511C88},grendelbach_effretikon_dambonec,Grendelbach_Effretikon_DamboneC,47.425649100000001,8.690706199999999,8307,CH,r,Grändelbach,illnau-effretikon,grandelbach,False,Illnau-Effretikon,296,17068,115844.946
{90B4C7B4-54AA-4388-9C23-3E6BDE45B98B},lotschebach_bern_scheurerk,lötschebach_bern_scheurerk,46.964945999999998,7.492835900000000,3072,CH,r,Lötschebach,ostermundigen,lotschebach,False,Ostermundigen,363,17751,29829.009
{92898A2E-9BF0-41AB-93FC-7AB9679E8CD6},reuss_stkarli_linigersimhofy,Reuss_St.Karli_LinigerS/ImhofY,47.057111800000001,8.287914499999999,6004,CH,r,Reuss,luzern,reuss,False,Luzern,1061,81691,95540.820
{CEF0D636-F028-4AFB-A3DC-524951CD87B9},rolle-plage,Rolle-plage,46.461300000000001,6.349739000000000,1180,CH,l,Lac Léman,rolle,lac-leman,False,Rolle,5861,6259,46578.425
{1E4E8459-495A-4086-8636-7736E071FEB7},berlingen-swisslitterreport,Berlingen swisslitterreport,47.672431199999998,9.011055300000001,8267,CH,l,Untersee,berlingen,untersee,False,Berlingen,4801,890,11779.334
{B5F6B819-4770-43F9-BBC3-A970CEB6166E},emme_biberist_jennim,emme_biberist_jennim,47.169220799999998,7.558994800000000,4562,CH,r,Emme,biberist,emme,False,Biberist,2513,8568,78611.894
{9ACCE134-5B1A-4E99-8046-E7D4D0C23D9C},murg_waengi_strickerr,Murg_Waengi_StrickerR,47.493609999999997,8.961592800000000,9545,CH,r,Murg,wangi,murg,False,Wängi,4781,4720,17780.862
{656F04DE-DE2B-4565-905E-2CFBCB18D707},sorne_birse_wwfjura,sorne_birse_WWFJura,47.370986799999997,7.360909900000000,2800,CH,r,Birs,delemont,birs,False,Delémont,6711,12682,54396.804
{948C5A44-527D-4D7C-AC0E-8C05612ED567},vierwaldstattersee_weggis_schoberls_2,vierwaldstättersee_weggis_schöberls_2,47.043953000000002,8.417307599999999,6353,CH,l,Quatre Cantons,weggis,quatre-cantons,False,Weggis,1069,4369,6949.984
{50A755B6-9ADD-4076-9EBC-3035556D3EEA},rivapiana,Rivapiana,46.172078999999997,8.813255000000000,6648,CH,l,Lago Maggiore,minusio,lago-maggiore,True,Minusio,5118,7302,82195.174
{3C8842A5-AC31-4E87-93C2-2F75A94C326A},aare-limmatspitz,Aare Limmatspitz,47.501060000000003,8.237371000000000,5300,CH,r,Aare,gebenstorf,aare,True,Gebenstorf,4029,5414,45453.103
{53CC0922-722E-47ED-9DD5-0A7B2688CF93},la-thiele_le-mujon_confluence,La Thièle_Le Mujon_confluence,46.775340000000000,6.630900000000000,1400,CH,r,La Thièle,yverdon-les-bains,la-thiele,True,Yverdon-les-Bains,5938,30157,94893.431
{071794B6-71E4-4F67-BDFD-C608DA89D5C8},zurichsee_kusnachterhorn_thirkell-whitej,Zürichsee_Küsnachterhorn_Thirkell WhiteJ,47.317684900000003,8.576860200000000,8700,CH,l,Zurichsee,kusnacht,zurichsee,True,Küsnacht (ZH),154,14397,61901.617
{D5332746-A942-4772-8BA6-44D8D286C62B},lavey-la-source,Lavey la source,46.200803999999998,7.021866000000000,1892,CH,r,Rhône,lavey-morcles,rhone,True,Lavey-Morcles,5406,946,8332.632
{1292F06F-2473-4FEF-A6AA-680BA716F75B},arve_carouge_battistellak,arve_carouge_battistellak,46.178491200000003,6.154318700000000,1234,CH,r,Arve,veyrier,arve,False,Veyrier,6645,11612,36546.870
{66ABF431-46AD-4D91-93E3-4DCC2535EF7D},plage-de-cheyres,Plage de Cheyres,46.818688999999999,6.782256000000000,1468,CH,l,Neuenburgersee,cheyres,neuenburgersee,True,Cheyres-Châbles,2055,2320,28502.998
{75DBFCAF-8E42-4BD8-9985-B779A6DBCE27},greifensee_maur_simmenc,greifensee_maur_simmenc,47.332386399999997,8.685514599999999,8124,CH,l,Greifensee,maur,greifensee,False,Maur,195,10215,3046.419
{FE6CE48A-0ABB-4F6F-8ABE-10C421EB40DD},strandbeiz,Strandbeiz,47.215861699999998,8.843098400000001,8645,CH,l,Zurichsee,jona-city,zurichsee,True,Rapperswil-Jona,3340,26999,6301.646
{30E22804-217C-4FCF-BC7F-76AFB771A8F3},sihl_zurich_himmelhebern,sihl_zurich_himmelhebern,47.343055399999997,8.518612200000000,8041,CH,r,Sihl,zurich,sihl,False,Zürich,261,415367,48060.097
{3658DB05-032E-4065-BCFE-42D4079D681C},sundbach-strand,Sundbach strand,46.684386000000003,7.794768000000000,3803,CH,l,Thunersee,beatenberg,thunersee,True,Beatenberg,571,1195,5773.863
{488037D8-3B56-4CCD-A60E-81A0EFC78840},zurcher-strand,Zürcher Strand,47.364199999999997,8.537419999999999,8002,CH,l,Zurichsee,zurich,zurichsee,True,Zürich,261,415367,161150.408
{D4221497-2F6B-4E55-BC57-54A2F8C7FFC0},reuss_ottenbach_schoenenbergerl,reuss_ottenbach_schoenenbergerl,47.278354499999999,8.394224200000000,5634,CH,r,Reuss,merenschwand,reuss,True,Merenschwand,4234,3549,7070.938
{AA09AD3D-0951-4730-A4BF-E9570B5D0A70},aare_bern_caveltin,Aare_Bern_CaveltiN,46.923578800000001,7.473319100000000,3074,CH,r,Aare,muri-bei-bern,aare,False,Muri bei Bern,356,13054,15052.712
{9B8F2971-2997-4D20-B305-C3D3BCA20600},jardin-botanique,Jardin Botanique,46.225908799999999,6.149357200000000,1202,CH,l,Lac Léman,geneve,lac-leman,False,Genève,6621,201818,46033.003
{53855000-580A-49BE-B04C-F5C5B29D40D3},thur_schoenenberg_schaera,Thur_Schoenenberg_SchaerA,47.524072599999997,9.198334700000000,9214,CH,r,Thur,kradolf-schonenberg,thur,False,Kradolf-Schönenberg,4501,3592,105716.369
