slug,location,latitude,longitude,city,post,country,water,water_name,city_slug,water_na_1,is_2020,NUMPOINTS
murg-bad,Murg Bad,47.115307000000001,9.215691000000000,Quarten,8877,CH,l,Walensee,quarten,walensee,True,12
murg_waengi_strickerr,Murg_Waengi_StrickerR,47.493609999999997,8.961592800000000,Wängi,9545,CH,r,Murg,wangi,murg,False,0
muhlehorn-dorf,Mühlehorn dorf,47.118448000000001,9.172124000000000,Glarus Nord,8874,CH,l,Walensee,glarus-nord,walensee,True,14
mullermatte,Müllermatte,47.133338999999999,7.227907000000000,biel,2505,CH,l,Bielersee,biel,bielersee,True,6
neuenburgersee_cudrefin_mattera,Neuenburgersee_Cudrefin_MatterA,46.962708900000003,7.025968100000000,Cudrefin,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,False,12
nidau-strand,Nidau strand,47.127195999999998,7.232613000000000,Nidau,2560,CH,l,Bielersee,nidau,bielersee,True,6
nouvelle-plage,Nouvelle plage,46.856646400000002,6.848428000000000,Estavayer,1470,CH,l,Neuenburgersee,estavayer,neuenburgersee,True,8
ognonnaz-1,Ognonnaz 1,46.459941299999997,6.859134100000000,Vevey,1800,CH,r,Ognonnaz,vevey,ognonnaz,False,2
oyonne,Oyonne,46.456682000000001,6.852262000000000,La Tour de Peilz,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,False,4
pacha-mama-gerra,pacha mama-gerra,46.123472999999997,8.783507999999999,Gambarogno,6576,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,36
parc-des-pierrettes,Parc des Pierrettes,46.515214999999998,6.575531000000000,Saint Sulpice,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True,2
pecos-plage,Pécos Plage,46.803590000000000,6.636650000000000,Grandson,1422,CH,l,Neuenburgersee,grandson,neuenburgersee,True,12
pfaffner_rothrist_ischik,Pfaffner_Rothrist_Ischik,47.298567800000001,7.899466400000000,Rothrist,4852,CH,r,Pfaffnern,rothrist,pfaffnern,False,0
pierrier-sud,Pierrier sud,46.439560100000001,6.891000100000000,Montreux,1815,CH,l,Lac Léman,montreux,lac-leman,False,8
plage-de-cheyres,Plage de Cheyres,46.818688999999999,6.782256000000000,Cheyres,1468,CH,l,Neuenburgersee,cheyres,neuenburgersee,True,11
plage-de-dorigny,Plage de Dorigny,46.518169000000000,6.583319000000000,Saint Sulpice,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,False,2
