UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,REVISION_Q,BAU_NAME_U,NAME,NUTZUNG,slug,water_name,city_slug,area
{6C5F7CE8-4C3A-4272-AFEE-6C67607E28DF},2014/12/09,2011/06/09,2010,4,2016,6,verbessert,swisstopo,2013,6,Gebaeude,2017_Aufbau,,,,le-port,Lac Léman,la-tour-de-peilz,74033.668
{AE8AA056-1D49-4D46-947F-0A0B44A821E7},2016/07/19,2008/03/19,2002,6,2015,6,verbessert,swisstopo,2015,6,Gebaeude,2015_Aufbau,,,,unterdsee_ermatingen_brunkem,Untersee,ermatingen,84404.763
{F998503F-3426-4AA1-AEA6-75D881B97360},2014/01/15,2009/01/30,2008,5,2014,6,verbessert,swisstopo,2011,6,Sakrales Gebaeude,2015_Aufbau,,,,toss_kollbrunn_burgid,Töss,zell,41218.419
{B5F6B819-4770-43F9-BBC3-A970CEB6166E},2017/10/06,2013/10/22,2011,6,2018,6,verbessert,swisstopo,2014,6,Hochkamin,2018_Aufbau,,,,emme_biberist_jennim,Emme,biberist,78611.894
{571997B8-2912-4735-90FE-D19A7B5C76EC},2013/11/08,2011/10/26,2011,3,2018,6,real,swisstopo,2011,6,Gebaeude,2018_Aufbau,,,,birs_basel_laderachs,Birs,basel,132077.477
{5E00C145-2015-450E-9394-A47C90D4409F},2014/09/25,2011/02/14,2010,3,2016,6,verbessert,swisstopo,2013,6,Offenes Gebaeude,2016_Aufbau,,,,aare_koniz_hoppej,Aare,koniz,36869.221
{6450FC97-CEB4-4F80-A47A-AE51D717C5EE},2013/09/02,2013/09/02,2010,6,2013,6,verbessert,swisstopo,2010,6,Hochkamin,1412_Aufbau,,,,zuerichsee_waedenswil_colomboc_1,Zurichsee,richterswil,21562.022
{1E4E8459-495A-4086-8636-7736E071FEB7},2013/11/19,2009/02/27,2008,5,2014,6,verbessert,swisstopo,2011,6,Gebaeude,2015_Aufbau,,,,berlingen-swisslitterreport,Untersee,berlingen,11779.334
{6F813094-2FB1-4FAE-B46D-D2D72F2514AF},2016/01/05,2016/01/05,2016,1,2016,1,verbessert,3D-GebCH_T2015,2015,6,Gebaeude,2016_Aufbau,,,,lacleman_gland_lecoanets,Lac Léman,gland,1883.183
{81AA20A8-47C0-46EB-A2C2-DF47EA945A13},2016/09/14,2016/09/14,2016,9,2019,6,verbessert,3D-GebCH_T2016,2015,6,Gebaeude,2018_Aufbau,,,,bagno-pubblico-ascona,Lago Maggiore,ascona,36508.339
{3C691FF8-A6AB-4F9C-93D1-6D2D95456EFB},2013/09/02,2013/09/02,2010,6,2013,6,verbessert,swisstopo,2010,6,Lagertank,1412_Aufbau,,,,zuerichsee_richterswil_benkoem_2,Zurichsee,richterswil,11977.442
{5F3DE279-EC69-4894-BFB4-A9E36579EC6A},2014/05/19,2011/06/06,2009,6,2015,6,verbessert,swisstopo,2012,6,Treibhaus,2016_Aufbau,,,,tolochenaz,Lac Léman,tolochenaz,53951.599
{D19C216A-0089-471E-8126-12C85A1C213B},2014/01/22,2009/09/01,2008,8,2014,6,verbessert,swisstopo,2011,6,Offenes Gebaeude,2015_Aufbau,,,,muhlehorn-dorf,Walensee,glarus-nord,18496.731
{93CE087C-31AF-4870-9AF2-8C7F22CDD646},2014/12/09,2011/06/09,2010,4,2016,6,verbessert,swisstopo,2013,6,Gebaeude,2017_Aufbau,,,,ognonnaz-1,Ognonnaz,vevey,103290.832
{DE0CBD5E-EE65-4E55-AB8A-C68488FEEA1D},2012/11/15,2012/11/15,2012,3,2012,6,verbessert,swisstopo,2012,3,Gebaeude,1312_Aufbau,,,,aare_rupperswil_badert,Aare,rupperswil,5280.138
{66153417-8F75-49D9-B5BB-361662C15787},2014/06/26,2014/04/02,2014,4,2013,6,verbessert,swisstopo,2013,6,Gebaeude,1412_Aufbau,,,,toss_bauma_kurthe,Töss,bauma,51701.633
{AC0D642D-ABD5-4F27-A50F-7A4AF4BB34EF},2013/09/30,2013/09/30,2013,6,2013,6,verbessert,swisstopo,2013,6,Sakrales Gebaeude,2015_Aufbau,,,,lorze_baar_blarere,Lorze,baar,90504.962
{A81769BE-B505-4842-BBBC-BB25DC484BAA},2016/07/19,2008/03/19,2002,6,2015,6,verbessert,swisstopo,2015,6,Gebaeude,2015_Aufbau,,,,rhein_hemishofen_stolll,Rhein,hemishofen,31036.586
