,code,rank,location,population,groupname,l_weight,type,pcs_m,n_times,quantity,% of total,n_weight
182,G10,149,plage-de-cheyres,2320.0,food,0.088,l,0.0,3,0,0.0,0.024
183,G10,149,pointe-dareuse,6154.0,food,0.008,l,0.0,1,0,0.0,0.008
184,G10,149,sundbach-strand,1195.0,food,0.016,l,0.0,1,0,0.0,0.008
185,G10,149,wycheley,3092.0,food,0.016,l,0.0,1,0,0.0,0.008
186,G10,150,hafeli,2536.0,food,0.016,l,0.0,1,0,0.0,0.008
187,G10,150,luscherz-plage,560.0,food,0.032,l,0.0,1,0,0.0,0.008
188,G10,150,plage-de-cheyres,2320.0,food,0.088,l,0.0,1,0,0.0,0.008
189,G10,150,thunersee_spiez_meierd_1,12812.0,food,0.088,l,0.0,2,0,0.0,0.016
190,G10,150,weissenau-neuhaus,5751.0,food,0.08,l,0.0,2,0,0.0,0.016
191,G10,151,hafeli,2536.0,food,0.016,l,0.0,1,0,0.0,0.008
192,G10,151,hauterive-petite-plage,2623.0,food,0.008,l,0.0,1,0,0.0,0.008
193,G10,151,la-petite-plage,30157.0,food,0.088,l,0.0,1,0,0.0,0.008
194,G10,151,weissenau-neuhaus,5751.0,food,0.08,l,0.0,2,0,0.0,0.016
195,G10,152,bielersee_vinelz_fankhausers,867.0,food,0.088,l,0.0,2,0,0.0,0.016
196,G10,152,evole-plage,33489.0,food,0.088,l,0.0,1,0,0.0,0.008
197,G10,152,la-petite-plage,30157.0,food,0.088,l,0.0,1,0,0.0,0.008
198,G10,152,ligerz-strand,544.0,food,0.016,l,0.0,1,0,0.0,0.008
199,G10,152,luscherz-plage,560.0,food,0.032,l,0.0,1,0,0.0,0.008
200,G10,153,bielersee_vinelz_fankhausers,867.0,food,0.088,l,0.0,1,0,0.0,0.008
201,G10,153,evole-plage,33489.0,food,0.088,l,0.0,3,0,0.0,0.024
202,G10,154,evole-plage,33489.0,food,0.088,l,0.0,1,0,0.0,0.008
203,G10,154,la-petite-plage,30157.0,food,0.088,l,0.0,1,0,0.0,0.008
204,G10,154,mullermatte,55159.0,food,0.088,l,0.0,1,0,0.0,0.008
205,G10,154,weissenau-neuhaus,5751.0,food,0.08,l,0.0,1,0,0.0,0.008
206,G10,155,mullermatte,55159.0,food,0.088,l,0.0,1,0,0.0,0.008
207,G10,156,evole-plage,33489.0,food,0.088,l,0.0,1,0,0.0,0.008
208,G10,157,evole-plage,33489.0,food,0.088,l,0.0,1,0,0.0,0.008
209,G10,157,mullermatte,55159.0,food,0.088,l,0.0,1,0,0.0,0.008
210,G10,158,mullermatte,55159.0,food,0.088,l,0.0,1,0,0.0,0.008
211,G10,159,evole-plage,33489.0,food,0.088,l,0.0,1,0,0.0,0.008
212,G10,159,weissenau-neuhaus,5751.0,food,0.08,l,0.0,1,0,0.0,0.008
213,G100,7,impromptu_cudrefin,1633.0,waste water,0.008,l,0.08,1,1,8.122816992933149e-05,0.008
214,G100,10,luscherz-plage,560.0,waste water,0.032,l,0.02,1,1,8.122816992933149e-05,0.008
215,G100,12,ligerz-strand,544.0,waste water,0.016,l,0.14,1,1,8.122816992933149e-05,0.008
216,G100,14,la-petite-plage,30157.0,waste water,0.088,l,0.01,1,1,8.122816992933149e-05,0.008
217,G100,15,evole-plage,33489.0,waste water,0.088,l,0.03,1,2,0.00016245633985866297,0.008
218,G100,16,evole-plage,33489.0,waste water,0.088,l,0.02,1,1,8.122816992933149e-05,0.008
219,G100,16,la-petite-plage,30157.0,waste water,0.088,l,0.03,1,3,0.00024368450978799449,0.008
220,G100,16,mullermatte,55159.0,waste water,0.088,l,0.04,1,2,0.00016245633985866297,0.008
221,G100,16,plage-de-cheyres,2320.0,waste water,0.088,l,0.01,1,1,8.122816992933149e-05,0.008
222,G100,18,wycheley,3092.0,waste water,0.016,l,0.06,1,1,8.122816992933149e-05,0.008
223,G100,19,signalpain,30157.0,waste water,0.008,l,0.04,1,2,0.00016245633985866297,0.008
224,G100,21,evole-plage,33489.0,waste water,0.088,l,0.03,1,2,0.00016245633985866297,0.008
225,G100,22,weissenau-neuhaus,5751.0,waste water,0.08,l,0.02,1,2,0.00016245633985866297,0.008
226,G100,23,bielersee_vinelz_fankhausers,867.0,waste water,0.088,l,0.07,1,1,8.122816992933149e-05,0.008
227,G100,25,evole-plage,33489.0,waste water,0.088,l,0.02,1,1,8.122816992933149e-05,0.008
228,G100,25,weissenau-neuhaus,5751.0,waste water,0.08,l,0.03,1,1,8.122816992933149e-05,0.008
229,G100,26,pecos-plage,3357.0,waste water,0.008,l,0.01,1,1,8.122816992933149e-05,0.008
230,G100,27,bielersee_vinelz_fankhausers,867.0,waste water,0.088,l,0.04,1,1,8.122816992933149e-05,0.008
231,G100,30,evole-plage,33489.0,waste water,0.088,l,0.02,1,1,8.122816992933149e-05,0.008
232,G100,31,mullermatte,55159.0,waste water,0.088,l,0.02,1,1,8.122816992933149e-05,0.008
233,G100,34,weissenau-neuhaus,5751.0,waste water,0.08,l,0.01,1,1,8.122816992933149e-05,0.008
234,G100,37,mullermatte,55159.0,waste water,0.088,l,0.02,1,1,8.122816992933149e-05,0.008
235,G100,46,evole-plage,33489.0,waste water,0.088,l,0.02,1,1,8.122816992933149e-05,0.008
236,G100,48,oben-am-see,3092.0,waste water,0.008,l,0.02,1,1,8.122816992933149e-05,0.008
237,G100,54,mullermatte,55159.0,waste water,0.088,l,0.02,1,1,8.122816992933149e-05,0.008
238,G100,172,bielersee_vinelz_fankhausers,867.0,waste water,0.088,l,0.0,1,0,0.0,0.008
239,G100,172,nidau-strand,6823.0,waste water,0.008,l,0.0,1,0,0.0,0.008
240,G100,172,schusspark-strand,55159.0,waste water,0.016,r,0.0,1,0,0.0,0.008
241,G100,179,la-petite-plage,30157.0,waste water,0.088,l,0.0,2,0,0.0,0.016
242,G100,179,mullermatte,55159.0,waste water,0.088,l,0.0,1,0,0.0,0.008
243,G100,179,strandboden-biel,55159.0,waste water,0.016,l,0.0,1,0,0.0,0.008
244,G100,179,wycheley,3092.0,waste water,0.016,l,0.0,1,0,0.0,0.008
245,G100,180,bielersee_vinelz_fankhausers,867.0,waste water,0.088,l,0.0,1,0,0.0,0.008
246,G100,180,la-petite-plage,30157.0,waste water,0.088,l,0.0,1,0,0.0,0.008
247,G100,180,mullermatte,55159.0,waste water,0.088,l,0.0,2,0,0.0,0.016
248,G100,181,bielersee_vinelz_fankhausers,867.0,waste water,0.088,l,0.0,1,0,0.0,0.008
