slug,location,latitude,longitude,post,country,water,water_name,city_slug,water_name_slug,is_2020,city,bfsnum,population,buildings,streets,intersects,pop_group_proj,pop_group_rip,streets_rank,buildings_rank
linth_route9brucke,Linth_Route9brücke,47.12573,9.11734,8757,CH,r,Escherkanal,glarus-nord,escherkanal,True,Glarus Nord,1630,18483,75526.13,49922.31,6,11.0,25.0,1,0
lorze_baar_blarere,Lorze_Baar_BlarerE,47.1954019,8.540237,6340,CH,r,Lorze,baar,lorze,False,Baar,1701,24468,464369.68,97532.8,0,no_data,no_data,3,3
luscherz-plage,Lüscherz plage,47.0479551,7.151242,2576,CH,l,Bielersee,luscherz,bielersee,True,Lüscherz,497,560,56443.05,37320.97,6,48.0,353.0,0,0
luscherz-two,Lüscherz two,47.047519,7.1528292,2573,CH,l,Bielersee,luscherz,bielersee,True,Lüscherz,497,560,56253.25,39662.41,6,48.0,353.0,0,0
lotschebach_bern_scheurerk,lötschebach_bern_scheurerk,46.964946,7.4928359,3072,CH,r,Lötschebach,ostermundigen,lotschebach,False,Ostermundigen,363,17751,820512.92,118442.5,0,no_data,no_data,3,3
magadino-lido,Magadino lido,46.1493486,8.8556628,6573,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,Gambarogno,5398,5192,102606.72,41326.63,21,32.0,119.0,0,0
maladaire,Maladaire,46.446296,6.87696,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True,La Tour-de-Peilz,5889,11828,393840.27,75342.49,3,20.0,52.0,3,3
mammern-swisslitterreport,Mammern swisslitterreport,47.6558366,8.9553168,8266,CH,l,Untersee,steckborn,untersee,False,Steckborn,4864,3753,42786.37,37449.68,0,no_data,no_data,0,0
mannewil,Mannewil,46.996382,7.239024,3283,CH,r,Aare,kallnach,aare,True,Kallnach,304,1920,62648.23,68302.44,0,no_data,240.0,2,0
mols-rocks,mols rocks,47.1143432,9.2881737,8885,CH,l,Walensee,quarten,walensee,True,Quarten,3295,2937,71036.7,48675.36,7,37.0,197.0,1,0
murg-bad,Murg Bad,47.115307,9.215691,8877,CH,l,Walensee,quarten,walensee,True,Quarten,3295,2937,51245.53,42901.38,6,37.0,197.0,1,0
murg_waengi_strickerr,Murg_Waengi_StrickerR,47.49361,8.9615928,9545,CH,r,Murg,wangi,murg,False,Wängi,4781,4720,271487.82,77474.08,0,no_data,no_data,3,2
muhlehorn-dorf,Mühlehorn dorf,47.118448,9.172124,8874,CH,l,Walensee,glarus-nord,walensee,True,Glarus Nord,1630,18483,62272.38,48302.05,7,11.0,25.0,1,0
mullermatte,Müllermatte,47.133339,7.227907,2505,CH,l,Bielersee,biel,bielersee,True,Biel/Bienne,371,55159,512260.05,109619.83,4,4.0,5.0,3,3
neuenburgersee_cudrefin_mattera,Neuenburgersee_Cudrefin_MatterA,46.9627089,7.0259681,1588,CH,l,Neuenburgersee,cudrefin,neuenburgersee,False,Cudrefin,5456,1633,114062.43,38229.76,6,42.0,259.0,0,1
nidau-strand,Nidau strand,47.127196,7.232613,2560,CH,l,Bielersee,nidau,bielersee,True,Nidau,743,6823,704853.85,119626.27,4,24.0,90.0,3,3
nouvelle-plage,Nouvelle plage,46.8566464,6.848428,1470,CH,l,Neuenburgersee,estavayer,neuenburgersee,True,Estavayer,2054,9716,279436.64,52613.01,4,22.0,63.0,1,2
oben-am-see,Oben am see,46.74445107,8.0499211,3855,CH,l,Brienzersee,brienze-be,brienzersee,True,Brienz (BE),573,3092,166286.24,58335.9,12,no_data,191.0,1,1
ognonnaz-1,Ognonnaz 1,46.4599413,6.8591341,1800,CH,r,Ognonnaz,vevey,ognonnaz,False,Vevey,5890,19891,718792.99,121418.83,1,10.0,21.0,3,3
oyonne,Oyonne,46.456682,6.852262,1814,CH,l,Lac Léman,la-tour-de-peilz,lac-leman,True,La Tour-de-Peilz,5889,11828,724526.78,97297.5,2,20.0,52.0,3,3
pacha-mama-gerra,pacha mama-gerra,46.123473,8.783508,6576,CH,l,Lago Maggiore,gambarogno,lago-maggiore,True,Gambarogno,5398,5192,71834.05,28428.32,18,32.0,119.0,0,0
parc-des-pierrettes,Parc des Pierrettes,46.515215,6.575531,1025,CH,l,Lac Léman,saint-sulpice,lac-leman,True,Saint-Sulpice (VD),5648,4668,460379.59,84427.25,1,33.0,131.0,3,3
pecos-plage,Pécos Plage,46.80359,6.63665,1422,CH,l,Neuenburgersee,grandson,neuenburgersee,True,Grandson,5561,3357,206647.33,59804.74,6,36.0,176.0,2,1
pfaffner_rothrist_ischik,Pfaffner_Rothrist_Ischik,47.2985678,7.8994664,4852,CH,r,Pfaffnern,rothrist,pfaffnern,False,Rothrist,4282,9127,372037.95,102621.37,0,no_data,67.0,3,2
pfafikon-bad,Pfäfikon bad,47.206766,8.774182,8808,CH,l,Zurichsee,freienbach,zurichsee,True,Freienbach,1322,16391,413149.03,62585.79,6,12.0,34.0,2,3
