loc_date,code,date,pcs_m,quantity,location,water_name,population,streets,buildings,rivs,wname_loc
"('weissenau-neuhaus', '2020-10-09')",G112,2020-10-09,0.0,0,weissenau-neuhaus,Thunersee,5751,23666.926,7772.041,21,"('Thunersee', 'weissenau-neuhaus')"
"('weissenau-neuhaus', '2020-11-06')",G112,2020-11-06,0.01,1,weissenau-neuhaus,Thunersee,5751,23666.926,7772.041,21,"('Thunersee', 'weissenau-neuhaus')"
"('weissenau-neuhaus', '2020-12-08')",G112,2020-12-08,0.0,0,weissenau-neuhaus,Thunersee,5751,23666.926,7772.041,21,"('Thunersee', 'weissenau-neuhaus')"
"('weissenau-neuhaus', '2021-01-08')",G112,2021-01-08,0.01,1,weissenau-neuhaus,Thunersee,5751,23666.926,7772.041,21,"('Thunersee', 'weissenau-neuhaus')"
"('wycheley', '2020-09-07')",G112,2020-09-07,0.0,0,wycheley,Brienzersee,3092,23862.085,5120.630999999999,22,"('Brienzersee', 'wycheley')"
"('wycheley', '2020-11-07')",G112,2020-11-07,1.79,111,wycheley,Brienzersee,3092,23862.085,5120.630999999999,22,"('Brienzersee', 'wycheley')"
"('zuerichsee_richterswil_benkoem_2', '2020-04-21')",G112,2020-04-21,0.0,0,zuerichsee_richterswil_benkoem_2,Zurichsee,13513,24830.532000000003,11977.442,6,"('Zurichsee', 'zuerichsee_richterswil_benkoem_2')"
"('zuerichsee_richterswil_benkoem_2', '2020-05-18')",G112,2020-05-18,0.0,0,zuerichsee_richterswil_benkoem_2,Zurichsee,13513,24830.532000000003,11977.442,6,"('Zurichsee', 'zuerichsee_richterswil_benkoem_2')"
"('zuerichsee_richterswil_benkoem_2', '2020-06-23')",G112,2020-06-23,0.0,0,zuerichsee_richterswil_benkoem_2,Zurichsee,13513,24830.532000000003,11977.442,6,"('Zurichsee', 'zuerichsee_richterswil_benkoem_2')"
"('zuerichsee_richterswil_benkoem_2', '2020-07-23')",G112,2020-07-23,0.06,2,zuerichsee_richterswil_benkoem_2,Zurichsee,13513,24830.532000000003,11977.442,6,"('Zurichsee', 'zuerichsee_richterswil_benkoem_2')"
"('zuerichsee_richterswil_benkoem_2', '2020-08-25')",G112,2020-08-25,0.0,0,zuerichsee_richterswil_benkoem_2,Zurichsee,13513,24830.532000000003,11977.442,6,"('Zurichsee', 'zuerichsee_richterswil_benkoem_2')"
"('zuerichsee_richterswil_benkoem_2', '2020-09-24')",G112,2020-09-24,0.0,0,zuerichsee_richterswil_benkoem_2,Zurichsee,13513,24830.532000000003,11977.442,6,"('Zurichsee', 'zuerichsee_richterswil_benkoem_2')"
"('zuerichsee_richterswil_benkoem_2', '2020-10-26')",G112,2020-10-26,0.0,0,zuerichsee_richterswil_benkoem_2,Zurichsee,13513,24830.532000000003,11977.442,6,"('Zurichsee', 'zuerichsee_richterswil_benkoem_2')"
"('zuerichsee_richterswil_benkoem_2', '2020-11-21')",G112,2020-11-21,0.0,0,zuerichsee_richterswil_benkoem_2,Zurichsee,13513,24830.532000000003,11977.442,6,"('Zurichsee', 'zuerichsee_richterswil_benkoem_2')"
"('zuerichsee_richterswil_benkoem_2', '2020-12-17')",G112,2020-12-17,0.0,0,zuerichsee_richterswil_benkoem_2,Zurichsee,13513,24830.532000000003,11977.442,6,"('Zurichsee', 'zuerichsee_richterswil_benkoem_2')"
"('zuerichsee_richterswil_benkoem_2', '2021-01-21')",G112,2021-01-21,0.0,0,zuerichsee_richterswil_benkoem_2,Zurichsee,13513,24830.532000000003,11977.442,6,"('Zurichsee', 'zuerichsee_richterswil_benkoem_2')"
"('zuerichsee_staefa_hennm', '2020-12-17')",G112,2020-12-17,0.0,0,zuerichsee_staefa_hennm,Zurichsee,14497,22489.557999999997,9791.007,8,"('Zurichsee', 'zuerichsee_staefa_hennm')"
"('zuerichsee_waedenswil_colomboc_1', '2020-11-21')",G112,2020-11-21,0.03,1,zuerichsee_waedenswil_colomboc_1,Zurichsee,13513,29900.401,21562.022,6,"('Zurichsee', 'zuerichsee_waedenswil_colomboc_1')"
"('zurcher-strand', '2020-09-11')",G112,2020-09-11,0.0,0,zurcher-strand,Zurichsee,415367,66722.836,161150.408,6,"('Zurichsee', 'zurcher-strand')"
"('zurcher-strand', '2021-01-10')",G112,2021-01-10,0.0,0,zurcher-strand,Zurichsee,415367,66722.836,161150.408,6,"('Zurichsee', 'zurcher-strand')"
"('zurichsee_kusnachterhorn_thirkell-whitej', '2020-04-22')",G112,2020-04-22,0.0,0,zurichsee_kusnachterhorn_thirkell-whitej,Zurichsee,14397,26863.237,61901.617,6,"('Zurichsee', 'zurichsee_kusnachterhorn_thirkell-whitej')"
